response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
1,5,5,I use search button for anything. No time to waste!!!  ,5,5,5,5,"I agree with you that current Zara's search button/function is horrible. I bet that they tried to be ""Slick/Cool but It ends up failing. I suggest the use of bright color to attract users",Yes
2,4,4,NA,5,5,5,4,NA,Yes
3,5,5,,3,3,4,4,No,Not Sure
4,4,3,,3,3,3,4,I do not even know how the existing header looks for Zara,Yes
5,5,5,,3,4,4,4,I think the logo should be in its own row/space and not in the same line as that of the categories,Not Sure
6,2,5,,4,4,3,4,NA,Yes
7,5,5,,4,4,5,4,NA,Yes
8,5,4,,3,3,2,3,none,Not Sure
9,4,4,,5,5,4,4,No,Yes
10,4,4,,4,4,4,4,n/a,Yes
11,5,5,,3,4,4,4,color coding in appealing,Yes
12,4,3,Google links,4,4,4,5,Take a look at Amazon app for wishlists,Yes
13,5,5,,5,5,4,4,I like the proposed design. It looks simple to use and efficient,Yes
14,4,4,,4,4,4,4,Nope!,Yes
15,4,4,,4,5,5,5,You may use icons to represent the categories ,Yes
16,4,5,,4,4,4,5,"it looks good, i can't think of any improvements",Yes
17,5,4,,4,5,5,5,No,Yes
18,5,4,,5,5,5,5,No,Yes
19,4,4,,5,5,5,5,N/A,Yes
20,4,3,,4,4,4,4,N/A,Yes
21,5,5,,4,5,5,5,NA,Yes
22,4,4,,4,4,4,4,n/a,Yes
23,4,4,N/A,4,4,4,4,"Maybe quick filters to further filter out the ""woman/man/kids/beauty"" categories",Yes
24,4,4,,4,5,5,5,"Logo can be shifted to extreme left and login button to extreme right. After clicking on any category, a list of sub-categories should be shown",Yes
25,5,3,,4,4,4,4,it seems like there can be a lot of overlap. e.g. there will be products that are in both woman and beauty. Maybe make it so you can select more than just 1?,Not Sure
